,#1 String,#2 String
777,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.
778,A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are wearing hats
779,Four people with hats are relaxing at the coast.,Some people are sitting on the coast.
780,A man wearing a beret walks down the street and smiles.,The man is happy as he walks.
781,Two people are outside walking through the snow.,There are people.
782,A dog rolls on his back.,The dog rolls over.
783,People sitting on black chairs on a bus.,The people in a bus
784,A woman who has just finished her dance performance3.,A woman just finished dancing.
785,A young woman is drawing with a Sharpie marker.,A woman is drawing.
786,A woman is drawing at a table with a blue permanent marker.,A woman is drawing.
787,A young woman draws lines on a tile with a permanent marker.,A person is using a writing utensil.
788,A woman with strawberry blond-hair decorates a tile in yellow and black.,A woman is decorating a tile.
789,"An art student uses a blue Sharpie to create a pattern on thick, white poster board.",A student draws on poster board.
790,A military man walks in front of a procession of people during a parade.,A man is in a parade..
791,"Barefooted, someone appears to be looking in a bathroom mirror.",A person appears to be looking in a mirror.
792,A woman in a pool looking down.,A woman is looking into a pool.
793,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.
794,A baseball player hits baseball.,The player swings his bat.
795,A woman in a yellow shirts walks through a park with her dog not far behind.,A woman walks with her dog
796,A man on a small bicycle performing a trick on a wall covered with graffiti.,A man is riding a bicycle up a graffiti covered wall.
797,A baseball player hitting a ball.,someone hitting a ball
798,A trials biker doing a stunt on a graffiti-filled wall.,The person is on a bicycle.
799,A bmx rider does a trick against a graffiti covered wall.,A bike rider is outside doing tricks.
800,"Two men, both wearing green cycling clothes and helmets, are riding bicycles.",Two guys ride bikes.
801,A lady in a purple shirt is painting a picture of a person on a curved wall.,A lady painting.
802,A woman with a purple shirt painting another woman on a wall.,A woman who is wearing purple is painting another woman.
803,A lady painting on a public wall!,The woman was painting.
804,Seven people walking across a bridge.,There are people on a bridge
805,Three young boys are dressed in hoodies facing the same way.,Group of young boys all in hoodies.
806,A man and a woman conversing in a city.,the man was talking
807,A man and a woman eating at an outdoor table.,The couple are outdoors.
808,A couple having lunch on a public lunch table.,A couple is having lunch
809,Three boys in hooded sweatshirts standing and looking at camera.,Some kids in hooded sweatshirts loiter.
810,A little girl smiling in a colorful knitted hat.,The little girl is happy
811,Little girl wearing a colorful hat while propped up on a cushion.,A girl is wearing a hat.
812,A little girl with a knit hat laying on a pillow propping her head up with her hands.,A child is laying down.
813,"A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.",A little girl poses for the camera.
814,Several people are moving away from a brightly colored tower.,There is a group of people near a tower.
815,Three young men wearing hooded sweatshirts are posing for a photo.,Three men have clothes on.
816,Asian Child in fancy hat posing for picture,the child is asian
817,A man looking at the scenery through binoculars.,A man is using a tool to improve his view.
818,A man photographs out off of the frozen land.,The man has a camera.
819,"A guy is standing on an ice patch by the sea, looking through a telescope at sunset.",a man looks through a telescope by the sea
820,There are many people walking at Times Square in New York near a building with a Lion King poster in the window.,There are many people walking at Times Square.
821,Photographer taking pictures of sunset.,Photographer taking pictures.
822,A girl in a black shirt is looking to the side while sitting on a wooden bench.,A person is sitting on a bench.
823,A young girl playing on a log swing.,a girl swinging
824,A girl sitting on a bench amongst the grass,A girl is sitting on a bench outside
825,A woman sitting on a bench in a park on a cloudy day,There is a woman on a bench outside.
826,A woman holding a girl's wrist walking down the street.,Some people walking down the street.
827,A woman holding a little girls hand walking across a bridge.,Two people walking across a bridge.
828,A girl is swinging on a piece of wood.,The girl is outside.
829,A girl with dark hair swings on a hanging log.,A girl is swinging.
830,A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.,there is one man in this picture
831,One small dog chases another across grass.,There are two dogs
832,The baby is wearing a red shirt and walking in a plaza.,The baby is walking in a plaza.
833,Monks in red robes sell vegetables at a market.,monks selling vegetables in the market
834,A group of teenagers sitting in the hall at school.,Teenagers are sitting in the school hallway
835,A baby in jeans and a winter jacket sits on top of a blue slide.,A baby sitting on top of a slide
836,A woman in a flower shirt is working on a piece of pottery.,She wears a decorated shirt
837,Two people climb a set of stairs onto a bridge.,two people are outside moving.
838,Man and woman walking up the stairs to an overpass.,Two people are escalating.
839,2 people walking up a set of stairs in the city.,People walking up stairs.
840,A man walking a dog and a young girl climb the stairs to a red bridge in a city.,A person walking a dog and a young girl climb the stairs to a red bridge in a city.
841,A couple is walking up the stairs to a bridge in a downtown part of a city.,Two people walking up to a bridge.
842,A man wearing green shoes lounges outdoors.,A man sits outdoors.
843,A young child learning how to swim.,A child learns to swim.
844,A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.,A man is wearing shoes.
845,"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a beer is held by a man in casual attire
846,A man in shorts in a lawn chair sits surrounded with plants in a backyard.,There's a guy in a chair out in the yard.
847,A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.,A man wears jean shorts.
848,Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,The woman is holding a ceramic bowl.
849,A little girl smiles as she slides down a tube on a sunny day.,A little girl slides down a tube.
850,Two dogs chase another dog that has a ball.,The dogs all want the same ball.
851,A man wearing glasses is singing into a microphone.,A man sings into microphone
852,A bride and groom share a kiss.,A bride and a groom kiss.
853,A man in a blue shirt walking down the street.,A man is walking outside.
854,Fans are cheering at a performance.,The performance has gotten the fans cheering.
855,"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are having a discussion outdoors while others look.
856,A blond child is drinking from a garden hose.,The kid is using a garden hose for drinking.
857,Several armed forces officers and civilians are standing around a children's playground.,Armed forces officers stand around a playground.
858,"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are attempting to stay quiet .
859,Military men are conversing near a playground.,they are in the military
860,"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",A young girl and two boys travel down a dirt road.
861,A group of boys enjoying a day by down the creek.,Some people down near a creek.
862,Five boys standing a one boy sitting by the lake.,boys stand next to another boy sitting by the water
863,Five young boys observe remote control boat in water.,Five young boys are near water.
864,Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,There are many Asians at the table.
865,Boy jumping in the air with a girl on the couch punching towards him.,Someone is jumping.
866,three young african children in a poor part of africa one riding a bike.,Three children are outside.
867,A child in a green shirt rides a bicycle.,The bicycle is moving.
868,"An African American base player wearing a blue shirt, being backed up by a drummer.",A drummer is backing up a base player.
869,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.
870,Pictured is the captain of a boat; he is steering.,the man is on a boat
871,An older man in nautical gear smilingly turns a ship wheel.,A ship wheel is manned by a well-equipped older man.
872,The smiling ship captain is holding the wheel of his wooden ship.,The ship captain is holding the sterring wheel.
873,"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man wearing an outfit
874,Three firefighters enraged after a prank call.,Three people are angry.
875,Two brothers take a nap on a gray couch.,The brothers are napping on the couch.
876,"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",a man makes coffee
877,A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,A person has clothing.
878,"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",The woman is speaking to the man.
879,Female street entertainer with horns doing a curtsey.,The woman is on the street.
880,Little girl in pink coat on a swing.,Little girl swinging.
881,People under a tent at a reception.,People are outside.
882,A formal band performing their works.,The band is playing music.
883,Several stall-shops selling various goods line a dimly-lit cobblestone street.,Stalls on a cobblestone street are selling goods.
884,A cowboy riding on the back of a bronco in a competition.,the horse was running
885,three chinese people eat soup.,The people are eating soup.
886,A woman in orange sunglasses jogs.,A person is jogging.
887,Two women and a man are sitting at a round table.,three people sitting at a round table
888,a family deciding what to other at a restaurant,A family looks over a menu at a restaurant
889,Three people sit and talk about the menu at a chinese restaurant.,People are conversing.
890,The Chines people are doing something.,The Chinese people are busy with something.
891,Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a mural.
892,An older man with glasses clasps his hands together as two seated individuals watch him.,There are three people there.
893,A woman with beads around her neck is performing a dance as part of a parade.,The woman is performing in the parade.
894,A person painting a mural on the side of a building while people are standing around watching.,People watch as a person paints the side of a building.
895,A crowd of people underneath a Hi-Pointe neon sign.,A crowd of people stand under a sign.
896,A crowd of young adults outside a nightclub.,The adults are outside
897,"A small white car is stuck on the track, while the train car that hit it at a slow speed, sits still, as a rescue worker helps the driver.",The car is near a train.
898,A male is looking at different colored yarn wearing a white shirt.,The man is wearing a white shirt
899,A young man and an older man sit on a plaid loveseat.,Two men are sitting.
900,"A man plays the piano, while a second man plays a guitar and a third man plays the saxophone.",Three men are playing musical instruments.
901,Three men work at a construction site.,Three construction workers working at a site
902,A painting of a man drinking from a bottle on the side of a building.,A man is not indoors
903,Three construction men on a beam working with high rises in the background.,A building is being worked on.
904,A man performing dangerous construction work.,A person is working.
905,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men are working outdoors
906,Workers on a platform work together to carry an item with skyscrapers in the background.,Workers on a platform work to carry an item with tall buildings in the background
907,Three older men playing live music in a grand hall.,A trio of older gentlemen performing in a musical concert.
908,Two children perform a karate move on a red mat.,The two kids are physically active.
909,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",a man sings into a mic
910,A man wearing a white shirt with black dot is holding a microphone as he stands in front of a background of black with white symbols on it.,A man holds a microphone.
911,"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs are walking outside
912,A young man in a white polka dot shirt is singing into a microphone.,A young man is singing.
913,Man singing on stage at a performance.,the guy sings
914,Two dogs walking through nature.,Dogs outside.
915,A man in a brown coat standing on a porch,A human standing
916,three ladies posing for the camera,Ladies are posing  for the camera
917,An old lady standing on a porch looking off in the distance,A woman is staring off at something.
918,The lady on the porch is wearing a brown jacket.,"A woman is wearing a heavy coat,standing on the patio."
919,a elderly woman in a tan jacket is standing by the door of a wooden house carrying a green and beige bag.,The woman is wearing a tan jacket.
920,A man in a brown jacket standing in front of an open porch door.,A man is standing in front of the porch door.
921,Many people are dunking to support Special Olympics.,Several people are in close proximity to each other.
922,fully clothed adults splash each other as they play in water.,Adults play in water.
923,A man in a pink shirt stands next to a man in orange.,The person in orange is standing next to a person wearing pink.
924,Three men stand around in bright solid colored shirts and colorful hats.,The three people are in bright colored clothes.
925,Three smiling men in brightly-colored shirts.,Three men are smiling together.
926,Many people playing and splashing in a fountain.,Many people are playing outside.
927,People wearing life jackets jumping into or looking at the river.,People are near water.
928,A line of basketball players doing a drill.,players doing a drill
929,some young men playing basketball,Basketball is being played.
930,A girl in a life jacket is swimming while others watch from the rocks.,A girl swimming alone.
931,A group of men stand in a gymnasium with a basketball.,they are playing basketball
932,A man in a white restaraunt shirt smokes next to a dumpster.,A man smokes outside.
933,Women of all ages and backgrounds practice yoga in an indoor studio.,The woman are doing yoga
934,A happy toddler is carrying a notebook.,The toddler is happy.
935,A man plays a keyboard and sings.,A man performs a song.
936,A blond headed toddler walking with a red piece of paper in hand.,A toddler is walking.
937,A woman plays a synthesizer in a dark room.,The synthesizer is making noise.
938,A little boy is running down the aisle clutching a book.,Billy was running with his book clutched next to him.
939,Little boy happily holds red booklet near rows of folding-chairs.,A little boy stands by folding chairs holding a red book.
940,A flight attendant is demonstrating safety devices.,A flight attendant is putting on a show
941,A stewardess reviews safety procedures on a plane.,A stewardess is on a plane.
942,A flight attendant showing passengers how to use the airplane safety vest.,A flight attendant showing passengers something.
943,An elderly woman and another younger woman greeting each other.,An elderly woman and another younger woman
944,Woman on airplane models a flotation device.,The woman is inside an airplane.
945,Two asian females go walking.,Two asian females are taking a stroll together
946,Two young women walking.,Ladies are walking.
947,Two young women walk past a door in a white wall.,Two friends are walking down the street
948,Two women walking.,There are two people walking.
949,A man is playing guitar and wearing sunglasses.,A man is playing guitar.
950,A man wearing sunglasses is playing the guitar.,A man is playing the guitar.
951,A man wearing sunglasses playing an acoustic guitar.,A man standing outside.
952,A woman window shops outside of a Louis Vuitton store.,The woman is standing outside the shop's window.
953,A man with sunglasses is playing the guitar.,A musician plays a song.
954,Two girls hold up their younger sister.,Two girls are holding up their little sister.
955,A motocross biker about to descend,A biker about to descend.
956,A man and a woman with a head covering are on a bridge looking at the water and a boat.,A man and a woman are looking at a boat.
957,Two girls holding another girl wearing a yellow top in a room with tan carpet.,Females holding another female in a room.
958,A person rappels down a steep incline.,a person is rappelling
959,The motorcyclist has reached the summit.,A person rides a motorcycle.
960,Two girls lift a third girl.,Three girls are playing together.
961,A brown dog runs on brown grass.,A dog running on grass.
962,The furry brown dog is running through the grassy area.,The dog is playing in a field.
963,A brown dog is running and looking up at the sky.,A brown dog runs while looking at the sky.
964,A golden colored dug prances in the grass.,A dog is in the grass.
965,The brown dog is playing outdoors.,An animal is outside.
966,Asian man shooting a gun in between rocks.,Asian man shooting a gun.
967,"An Asian man, crouching on a stone wall in the mountains aiming a rifle.",The man aims his gun.
968,A man on a hilltop is crouched and holding a gun.,A man has a gun
969,Two young boys are playing with two toddler girls.,Four kids are playing a game together.
970,"An Asian man in a jacket, glasses, and sandals is at a high altitude aiming a gun.",An Asian man gets ready to shoot a gun.
971,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.,A man is indoors.
972,A woman walking down the side of a highway.,The woman walks down the road.
973,A woman is walking down the middle of the road carrying a bottle.,A woman is walking outside
974,A woman in a short skirt holds a plastic bottle as she walks down a street with auto and pedestrian traffic.,The woman in a short skit is holding a bottle and walking outdoors.
975,A woman wearing a jean skirt walks down a city street.,A female walks down an urban street.
976,A woman walking parallel to a yellow line against traffic.,A person is walking along the side of the road.
977,Fellows writing on the back of a friend with black markers.,There are people writing on someone's back.
978,A couple dressed in hoodies kissing on the beach.,there is a couple
979,A man holds up a fish he just caught.,He found a great place to fish.
980,A woman in a green t-shirt speaks into a microphone.,There is a woman in a green t-shirt.
981,A little girl walking down a dirt road behind a group of other walkers.,Girl walking down road
982,A bunch of travelers stand around.,A group of people are corded together.
983,A young adult wearing jeans and a camouflage t-shirt playing a black electric guitar.,The guitar player weras black and camo clothing.
984,There is an Asian woman in a black suit who is standing around and waiting at an airport.,A woman is waiting at the airport.
985,A woman of Asian looking descent in a black outfit standing in the airport baggage area.,A woman waiting at the airport baggage claim
986,People are waiting with their luggage at an airport check-in.,People are waiting to check in for their flights.
987,People in a airport with luggage waiting on something.,The people are indoors waiting.
988,A kid does a tumbling move over a leaf-covered lawn near sundown.,a kid does a tumbling move
989,A band performs on a stage.,A band performs.
990,A woman in a black shirt walking down the street,There is a woman wearing a back shirt walking in the street.
991,A man with a blue and white trucker style hat with a logo is wearing glasses in front of a man with a yellow shirt.,a man wairs a blue hat and glasses
992,"A man in a t-shirt, glasses and a National Bohemian Beer cap is looking to his right and smiling.",a man is smiling
993,A woman in pink is singing on stage next to three guitar players.,A woman is singing.
994,A woman in a black-shirt is walking holding a silver cellphone.,a woman is walking
995,A group of people are at an aquarium to view marine life.,A group are viewing all the different types of fish at the aquarium.
996,A young women smiling and a young man smirking in front of a speaker.,Two people enjoying each others company.
997,A man is doing his laundry.,A man does his laundry.
998,A person stands in the middle of traffic.,A person is standing in the public.
999,A man dressed in a red shirt sits watching his laundry being washed.,A man in indoors.
