,#1 String,#2 String
1836,Ice hockey is a team sport played on ice in which skaters use sticks to shoot a hard rubber hockey puck into their opponent 's net to score points .,The players score by shooting the puck into a net ; the goaltenders try to stop them .
1837,"Then , in 1961 , John , Chuck , and their neighbor , Dennis DeYoung , formed a band called the Tradewinds in which John played drums , Chuck played guitar , and Dennis played the accordion and sang .","In 1961 John , Chuck , and their neighbor , Dennis DeYoung , formed a band called the Tradewinds.John played drums , Chuck played guitar , and Dennis played the accordion and sang ."
1838,Animating and sustaining this Murrinh-patha mythology is an underlying philosophy of life that has been characterised by Stanner as a belief that life is '' ... a joyous thing with maggots at its center . '',This Murrinh-patha mythology is based on a view of life that believes life is '' ... a joyous thing with maggots at its center . ''
1839,"There is usually little or no swelling , and it is rare for any nearby lymph nodes to be affected .","There is usually little or no swelling involved , and it is rare for any nearby lymph nodes to be affected ."
1840,Arthur Schopenhauer ( ; 22 February 1788 -- 21 September 1860 ) was a German philosopher .,"Arthur Schopenhauer ( February 22 , 1788 -- September 21 , 1860 ) was a German philosopher ."
1841,"Operationally , the storm was referred to as Mahasen ; however , this stirred some controversy from nationalists and officials in Sri Lanka .",The name Mahasen caused some argument from nationalists and officials in Sri Lanka .
1842,"Lycoperdon umbrinum , commonly known as the umber-brown puffball , is a type of Puffball mushroom in the genus `` Lycoperdon '' .","Lycoperdon umbrinum , better known as the umber-brown puffball , is a species of puffball mushroom in the genus `` Lycoperdon '' ."
1843,The genre includes dance games such as Dance Dance Revolution and music-based games such as Donkey Konga and Guitar Hero .,"Rhythm game , or rhythm action , is a subgenre of action game that challenges a player 's sense of rhythm , and includes dance games such as Dance Dance Revolution and other music-based games such as Donkey Konga and Guitar Hero ."
1844,"The Japanese secretly began to prepare for the evacuation , called Operation Ke , scheduled to begin during the latter part of January 1943 .","The Japanese secretly began to prepare for the evacuation , called Operation Ke , scheduled to begin during January 1943 ."
1845,"In metallurgy , stainless steel , also known as inox steel or inox from French `` inoxydable '' , is a steel alloy with a minimum of 10.5 % chromium content by mass .","Stainless steel , also known as inox steel , is a steel alloy with a minimum of 10.5 or 11 % chromium content by mass ."
1846,"The tree reminds us of the aboriginal origins of the name Penola , which means stringybark .","The tree also reminds us of the Penola , or the native aboriginal origin ."
1847,"Since 1949 , India no longer looks after the external , defense , communications , and foreign affairs of Bhutan .","India no longer looks after the external , defense , communications , and foreign affairs of Bhutan ."
1848,"Along with women 's clothing , the company also produces men 's clothing , children 's clothing , maternity clothes , shoes , jewelry , accessories , bedding ( revived in 2010 ) , and stationery .","Along with women 's clothing , the company also makes men 's clothing , children 's clothing , maternity clothes , shoes , jewelry , accessories , bedding ( revived in 2010 ) , and stationery ."
1849,Tilson Thomas also founded the New World Symphony in Miami in 1987 .,"Tilson Thomas started a new orchestra , the New World Symphony , in Miami , Florida in 1987 , to give talented young people a chance to play with a good orchestra ."
1850,"Chaucer was buried in Westminster Abbey in London , as was his right owing to his status as a tenant of the Abbey 's close .","Chaucer is buried in Westminster Abbey , in what is now called the Poets ' Corner ."
1851,"The significance of angular unconformity ( see below ) was shown by James Hutton , who found examples of Hutton 's Unconformity at Jedburgh in 1787 and at Siccar Point in 1788 .","James Hutton found examples of unconformity in Scotland , at Jedburgh in 1787 and at Siccar Point in 1788 ."
1852,"Mark Fitzpatrick ( born November 13 , 1968 ) is a Canadian former professional ice hockey goaltender .","Mark Fitzpatrick ( born November 13 , 1968 in Toronto , Ontario ) is a Canadian retired ice hockey goaltender ."
1853,"The club nowadays mostly runs soccer , earlier even bandy , handball , ice hockey , table tennis and track and field athletics .","The club nowadays mostly runs soccer . It earlier also ran bandy , handball , ice hockey , table tennis and track and field athletics ."
1854,This attracted fierce opposition from road protesters opposing the Newbury Bypass and other schemes and it was canceled shortly afterwards .,"This attracted fierce opposition from road protesters opposing the Newbury Bypass and other schemes , and it was canceled shortly afterwards ."
1855,"If you encounter an issue , please report it on the Feedback page .","If you find a problem , please tell us on the Feedback page ."
1856,"At Mary Imogene Bassett , he began to study rodents that received lethal doses of radiation who were then saved by an infusion of marrow cells .",He studied rodents that received lethal doses of radiation who were then saved by an infusion of marrow cells at Mary Imogene Bassett .
1857,The weather usually clears quickly after a front 's passage .,The weather usually quickly clears after a front passes .
1858,"In addition , some monocots have dicot characteristics such as reticulated leaf veins .","Also , some monocots have dicot characteristics such as reticulated leaf veins ."
1859,"The circuit lies on Île Notre-Dame , a man-made island in the St. Lawrence River most of which was originally built up for the Expo .","The circuit is located on Île Notre-Dame , a man-made island in the St. Lawrence River ."
1860,It is suspected that many Jupiter trojans are in fact small planetesimals captured in the Lagrange point of Jupiter-Sun system during the migration of the giant planets 3.9 billion years ago .,"It is thought that many Trojan asteroids are in fact small planetesimals captured in the Lagrange point of Jupiter-Sun system during the farther migration of the giant planets , 3.9 billion years ago ."
1861,"Ryan Timothy Malgarini ( born June 12 , 1992 ) is an American actor and former child actor , best known for his role as Harry Coleman in `` Freaky Friday '' ( 2003 ) .","Ryan Timothy Malgarini ( born June 12 , 1992 ) is an American actor , comedian , and former child actor . He is known for his role as Harry Coleman in `` Freaky Friday '' ."
1862,Governments use different kinds of taxes and vary the tax rates .,There are many different kinds of taxes .
1863,"In 1938 Terry was invited to play at Carnegie Hall for the first From Spirituals to Swing concert , and later that year he recorded for the Library of Congress .",In 1938 he played in the Carnegie Hall during the first From Spirituals to Swing concert .
1864,"In early 1978 , Bryan Adams teamed up with Jim Vallance ( formerly of Canadian band Prism ) to form a song-writing duo .","In early 1978 , Bryan Adams and Jim Vallance made a song-writing duo together ."
1865,Prince Friso of Orange-Nassau ( Johan Friso Bernhard Christiaan David van Oranje-Nassau van Amsberg ; 25 September 1968 -- 12 August 2013 ) was a younger brother of King Willem-Alexander of the Netherlands .,Prince Friso of Orange-Nassau ( Johan Friso Bernhard Christiaan David van Oranje-Nassau van Amsberg ; 25 September 1968 -- 12 August 2013 ) was a member of the Dutch Royal Family .
1866,"Jagiellonia Białystok won the Polish Cup in 2010 , Super Cup and qualified to play in the third round qualification of the UEFA Europa League .","In 2010 , Jagiellonia Białystok won the Polish Cup and the Super Cup , and qualified to play in the third round qualification of the UEFA Europa League ."
1867,"Michael Graves ( July 9 , 1934 -- March 12 , 2015 ) was an American architect .","Michael Graves ( July 9 , 1934 - March 12 , 2015 ) was an American architect ."
1868,She began playing the violin one month before her fourth birthday in the Suzuki Program of Baltimore 's Peabody Institute .,"She was born into a Lutheran family and moved to Baltimore , Maryland at the age of three and began playing the violin one month before her fourth birthday in the Suzuki Program of Baltimore 's Peabody Conservatory ."
1869,"Large sections of the aircraft crashed into Lockerbie , Scotland , killing 11 more people on the ground .",Eleven more people in Lockerbie were killed as large parts of the plane fell in the town and crashed into houses .
1870,Such dual-language recording is common to many subsequent treaties .,Such dual-language recording is common to many treaties .
1871,"The gaps were first noticed in 1866 by Daniel Kirkwood , who also correctly explained their origin in the orbital resonances with Jupiter while a professor at Jefferson College in Canonsburg , Pennsylvania .","The gaps were first noticed in 1857 by Daniel Kirkwood , who also correctly explained their origin in the orbital resonances with Jupiter while a professor at Jefferson College in Canonsburg , Pennsylvania ."
1872,"She then joined Blue Sky Studios , where she worked as story artist on many animated films , including `` Robots '' , ' , `` Horton Hears a Who ! ''","She then joined Blue Sky Studios , where she worked as storyboard artist on many animated movies , such as `` Robots '' , ' , `` Horton Hears a Who ! ''"
1873,In 1985 she received her B.A. in Literature from Yonsei University .,In 1985 Gong ji-young received her B.A. in Literature from Yonsei University .
1874,"However , in recent years an additional escalator has been installed in place of the fixed stairway at Brixton ( 2004 ) and Vauxhall ( 2006 ) .",This has been remedied at Brixton in 2004 and at Vauxhall in 2006 where an additional escalator has been installed in place of the fixed stairway .
1875,"It consisted of sisters Sonja Martinsson ( 1934 -- 2013 ) , Barbro Svensson ( born 1941 ) and Agnetha Gardelid ( born 1945 ) .","The members were sisters Sonja Martinsson ( 1934 -- 2013 ) , Barbro Svensson ( born 1941 ) and Agnetha Gardelid ( born 1945 ) ."
1876,An electrical telegraph was independently developed and patented in the United States in 1837 by Samuel Morse .,"In the United States , the telegraph was developed by Samuel Morse and Alfred Vail ."
1877,The British Library is the national library of the United Kingdom .,The British Library ( BL ) is the national library of the United Kingdom .
1878,"Some , such as the American Academy of Pediatrics recommends renal ultrasound and voiding cystourethrogram ( watching a person 's urethra and urinary bladder with real time x-rays while they urinate ) in all children less than two year old who have had a urinary tract infection .","Some medical groups , such as the American Academy of Pediatrics , recommend renal ultrasound and voiding cystourethrogram ( watching a person 's urethra and urinary bladder with real time X-rays while they urinate ) in all children who are younger than 2 years old and have had a urinary tract infection ."
1879,It is also home to the animals of Yellowstone .,"It is a world-renowned recreational site , and home to the animals of Yellowstone ."
1880,"He produces mashup-style remixes , in which he uses often a dozen or more unauthorized samples from different songs to create a mashup .","He specializes in mash-up style remixes , in which he uses often a dozen or more unauthorized samples from different songs to create a new song ; The New York Times Magazine has called his music `` a lawsuit waiting to happen . ''"
1881,"The opening of group homes in neighborhoods is occasionally opposed by residents , who fear that it will lead to a rise in crime and\/or a drop in property values .",The opening of group homes is occasionally fought against by neighbors who fear that it will lead to a rise in crime and\/or a drop in property values .
1882,"Beds can be differentiated in various ways , including rock or mineral type and particle size .",It can be distinguished from beds above and below it by rock or mineral type and particle size .
1883,"John Dee ( 13 July 1527 - 1608 or 1609 ) was a mathematician , astronomer , astrologer , occultist , navigator , imperialist and adviser to Queen Elizabeth I of Welsh origin .","John Dee ( July 13 , 1527 - 1609 ) was a noted English mathematician , astronomer , astrologer , geographer , occultist , and consultant to Queen Elizabeth I . He also studied to alchemy , divination , and Hermetic philosophy ."
1884,"In logic , a tautology ( from the Greek word ταυτολογία ) is a formula that is true in every possible interpretation .","In propositional logic , a tautology ( from the Greek word ταυτολογία ) is a propositional formula that is always true ."
1885,"The facility 's barracks were destroyed , along with fifteen huts and several other structures .","The facility 's barracks were destroyed , along with 15 huts and several other buildings ."
1886,"It is also found in Nietzsche 's 1883 work Thus Spoke Zarathustra ( German : Also sprach Zarathustra ) , which is most responsible for popularizing the phrase .","It is also found in Nietzsche 's classic work Thus Spoke Zarathustra ( Deutsch : Also sprach Zarathustra ) , which is most responsible for popularizing the phrase ."
1887,"Early signs of these hunter-gatherers beginning to harvest , manipulate and grow various food plants have been identified in the Mesolithic Natufian culture of the Levant , showing signs that would later lead to the actual domestication and farming of crops .",These are signs that would later lead to the actual domestication and farming of crops .
1888,"On August 19 , 1905 , Bouguereau died in La Rochelle at the age of 79 from heart disease .","Bouguereau died at the age of 79 on August 19 , 1905 from heart disease ."
1889,As the density of the population increases the locust transforms progressively from the solitary phase towards the gregarious phase with intermediate phases : Solitaire = solitary phase → transiens congregans ( intermediate form ) → gregarious phase → transiens dissocians ( intermediate form ) → solitaire = solitary phase .,"As the density of the population increases the locust transforms from the solitary phase to the gregarious phase , with intermediate phases ."
1890,Digital signal processing algorithms typically require a large number of mathematical operations to be performed quickly and repeatedly on a series of data samples .,Digital signal processing algorithms require a large number of mathematical operations to be performed quickly on a set of data .
1891,"Desiring to `` interfere in English affairs '' , the Duke decided to help the Scots against the English .","The Duke decided to help the Scots against the English , and sent it to James II ."
1892,L'Aube Nouvelle ( The Dawn of a New Day ) is the national anthem of Benin .,L'Aube Nouvelle is the national anthem of Benin . In English the name is The Dawn of a New Day .
1893,The oblasts in other post-Soviet countries are officially called : Viloyat and welaýat are derived from the Arabic language term wilāya ( ولاية ),The oblasts in other post-Soviet countries are officially called : Viloyat and welayat come from the Arabic language term wilāya ( ولاية )
1894,"The Trent is unusual amongst English rivers in that it flows north ( for the second half of its route ) , and in exhibiting a tidal bore , the `` Trent Aegir '' .","It is unusual amongst English rivers in that it flows north ( for the second half of its route ) , and is also unusual in exhibiting a tidal bore , the `` Aegir '' ."
1895,"In the case of multiple tribes or castaways who win reward or immunity , they are listed in order of finish , or alphabetically where it was a team effort ; where one castaway won and invited others , the invitees are in brackets .","If more than one tribe or player wins reward or immunity , they are listed in order of finish , or alphabetically if it was teamwork , or where one player won and invited others , the players they invited are in brackets ."
1896,"Formerly known as The Lord Chamberlain 's Men during the reign of Queen Elizabeth I , it became The King 's Men in 1603 when King James I ascended the throne and became the company 's patron .","During the rule of Queen Elizabeth I , they were known as `` The Lord Chamberlain 's Men '' . They became `` The King 's Men '' in 1603 when King James I had the throne and became the company 's patron ."
1897,"1948 , the municipalities Glinde , Oststeinbek , Havighorst and Schönningstedt were amalgamated to the Amt Glinde .","In 1948 , the town administration of Glinde , Oststeinbek , Havighorst and Schönningstedt were brought together to the Amt Glinde ."
1898,"Many of the earliest discoveries of dinosaur and other prehistoric reptile remains were made in the area around Lyme Regis , notably those discovered by Mary Anning ( 1799-1847 ) .","Many of the earliest discoveries of dinosaur and other prehistoric reptile remains were made in the area surrounding Lyme Regis , notably those discovered by Mary Anning ( 1799-1847 ) ."
1899,"After several decades of prosperity , it entered a period of protracted political , military and economic decline .","After several decades of prosperity , it entered a period of political , military and economic decline ."
1900,Only the four contestants with the highest total winnings get to keep their money once the million seconds are up .,Only the four contestants with the highest amount of money keep their winnings when the million seconds are up .
1901,"But as his opinions fluctuated greatly at different periods , and as he does not enter on the causes or means of the transformation of species , I need not here enter on details '' .","But as his opinions fluctuated greatly at different periods , and as he does not enter on the causes or means of the transformation of species , I need not here enter on details . ''"
1902,"The Kessler syndrome ( also called the Kessler effect , collisional cascading or ablation cascade ) , proposed by the NASA scientist Donald J. Kessler in 1978 , is a scenario in which the density of objects in low Earth orbit ( LEO ) is high enough that collisions between objects could cause a cascade-each collision generating space debris which increases the likelihood of further collisions .",Kessler Syndrome ( or an ablation cascade ) is a thought-up situation made by the NASA scientist Donald J. Kessler in which the amount of space debris in orbit is large enough to cause space collisions to happen often .
1903,He won the Nobel Prize in Physics in 2006 for his work on the Cosmic Background Explorer with John C. Mather that led to the `` discovery of the black body form and anisotropy of the cosmic microwave background radiation . '',In 2006 he won a Nobel Prize of physics for his work on COBE with John C. Mather that made it possible to measure black holes and cosmic radiation much more exactly than was possible before .
1904,He was educated at Newport Free Grammar School .,He was educated in Newport Free Grammar School .
1905,Multithreading is similar in concept to preemptive multitasking but is implemented at the thread level of execution in modern superscalar processors .,Multithreading is similar in concept to multitasking but is implemented at the thread level of execution in modern superscalar processors .
1906,"The famed walls of Babylon were indeed impenetrable , with the only way into the city through one of its many gates or through the Euphrates , which ebbed beneath its thick walls .","The walls of Babylon were impenetrable , and the only way into the city was through one of its many gates or through the Euphrates , which ebbed beneath its thick walls ."
1907,"Joseph Robert `` Bob '' Kerrey ( born August 27 , 1943 ) is an American politician who served as the 35th Governor of Nebraska from 1983 to 1987 and as a United States Senator from Nebraska from 1989 to 2001 .","Joseph Robert `` Bob '' Kerrey ( born August 27 , 1943 ) is an American politician . He served as the 35th Governor of Nebraska from 1983 to 1987 and as a United States Senator from Nebraska from 1989 to 2001 ."
1908,The raids killed 35 Japanese at a cost of 17 Marines and three U.S. Navy personnel killed .,The attacks killed 35 Japanese at a cost of 17 Marines and three U.S. Navy personnel .
1909,It is around 10 kilometres ( 6 mi ) from the Belgian border .,"It is about 10 km ( 6 miles ) from Belgium , and about 200 km ( 120 miles ) from Paris ."
1910,The French withdrawal left a power vacuum in Egypt .,The French withdrawal left a power vacuum in the Ottoman province .
1911,Jamia Masjid Jarral is known for its architecture work and is the largest in the area .,"A very beautiful mosque , the Jamia Masjid Jarral , is of historic and architectural significance ."
1912,"Plant milk . Plant milks include almond milk , soy milk , peanut milk and coconut milk .","Other examples include coconut milk , almond milk , and peanut milk ."
1913,"Since April 2007 , Boutros-Ghali has supported the Campaign for the Establishment of a United Nations Parliamentary Assembly and was one of the initial signatories of the Campaign 's appeal .",Since April 2007 Boutros-Ghali has supported the Campaign for the Establishment of a United Nations Parliamentary Assembly and was one of the initial signatories of the Campaign 's appeal .
1914,Lilly was previously married to Canadian hockey player Murray Hone .,Evangeline was once married to Canadian hockey player Murray Hone .
1915,The winner is the team with most goals scored after regulation time ( six 8-minute `` periods '' ) .,The winner is the team with most goals scored after the time is done .
1916,"He spent most of his childhood in Memphis , Tennessee playing slide guitar at an early age in local `` jukes '' and on the street .",He spent most of his childhood in Memphis playing slide guitar for money on the streets .
1917,"Mary Grace Canfield ( September 3 , 1924 -- February 15 , 2014 ) was an American theatre , film and television actress .","Mary Grace Canfield ( September 3 , 1924 -- February 15 , 2014 ) was an American actress ."
1918,"It became a Category 5 ( the first in the Gulf of Mexico since Hurricane Allen 25 years prior ) storm by 7:00 a.m. CDT , twelve hours after the beginning of the second round of rapid intensification , and reached its peak intensity at 1:00 p.m. CDT with maximum sustained winds of 175 mph ( 280 km\/h ) , gusts of 215 mph ( 344 km\/h ) and a central pressure of 902 mbar ( 26.64 inHg ) .","It became a Category 5 storm by 7:00 a.m. CDT , twelve hours after the beginning of the second round of rapid intensification , and reached its peak intensity at 1:00 p.m. CDT with maximum sustained winds of 175 mph ( 280 km\/h ) , gusts of 215 mph ( 344 km\/h ) and a central pressure of 902 mbar ( 26.64 inHg ) ."
1919,"She was married for two years to the actor Jiří Pleskot , and spent 27 years with Zdeněk Podskalský .",She was married for two years to Jiří Pleskot until they divorced . Then she spent 27 years with Zdeněk Podskalský until her death .
1920,"It was located in Picnic Point National Park , near the South Sydney Power station .","It was in Picnic Point National Park , near the South Sydney Power station , People who live in the area say that it is still there ."
1921,"That 's the principle , '' Ballmer said .","That 's the principle , '' Mr. Ballmer said ."
1922,"The Autodromo Internazionale Enzo e Dino Ferrari is an auto racing circuit near the Italian town of Imola , east of Bologna and east of the Ferrari factory in Maranello .","The Autodromo Internazionale Enzo e Dino Ferrari is an auto racing circuit near the Italian town of Imola , 40 km east of Bologna and 80 km east of the Ferrari factory in Maranello ."
1923,The Bahá ' í Faith was founded by Bahá ` u 'll áh in 19th-century Persia .,"The Bahá ' í Faith is an Abrahamic religion started in the 1800s by Bahá ` u 'll áh who was born in Tehran , Iran ."
1924,Then the theater was closed down to enable the completion of the finishing touches .,Then the theater was closed down to finish the building .
1925,Dannes is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Dannes is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .
1926,"Many consider this city one of the most beautiful in Belarus : one of its masterpieces survived through the centuries , Orthodox `` St Boris & St Gleb ( Kalozhskaya ) Church '' dating back to the 12th century , is the second oldest in Belarus .","Many say this city is one of the most beautiful in Belarus . The Orthodox `` St Boris & St Gleb ( Kalozhskaya ) Church '' dating back to the 12th century , is the second oldest in Belarus ."
1927,"Nushki District ( ) is one of the districts of Balochistan province , Pakistan .","Nushki District is one of the districts of Balochistan province , Pakistan ."
1928,"Frederick B. Karl Frederick Brennan `` Fred '' Karl ( May 14 , 1924 -- March 7 , 2013 ) was an American politician .","Frederick B. Karl Frederick Brennan Karl ( May 14 , 1924 -- March 7 , 2013 ) was an American politician , writer , and lawyer ."
1929,Otto Grotewohl ( ; 11 March 1894 -- 23 September 1964 ) was a German politician and the first prime minister of the German Democratic Republic from 1949 until his death in 1964 .,Otto Grotewohl ( German pronunciation : [ ˈɔtoː ˈɡʁoːtəvoːl ] ; 11 March 1894 -- 23 September 1964 ) was a German politician . He was the first prime minister of the German Democratic Republic from 1949 until his death in 1964 .
1930,He married Susan Laura Hocker in 1874 ( later having 3 sons and 2 daughters - his son Humphrey was Director of the Cambridge University Botanic Garden ) .,His son Humphrey was Director of the Cambridge University Botanic Garden .
1931,"Sef Vergoossen ( , born 5 August 1947 in Echt ) is a former Dutch football manager .",Sef Vergoossen ( born 8 May 1947 ) is a former Dutch football manager .
1932,"Born and raised in Örnsköldsvik , Sweden , they have played together throughout their careers ; the pair are notoriously effective at playing off one another .","Born and raised in Örnsköldsvik , Sweden , they have played together throughout their careers ; the pair are known for their effectiveness playing off one another ."
1933,"It is named after The Oval , which it serves .","It is named for The Oval , which it serves ."
1934,"The album was recorded simultaneously with Ono 's debut avant garde solo album , `` Yoko Ono/Plastic Ono Band '' , at Ascot Sound Studios and Abbey Road Studios using the same musicians and production team , and featured nearly identical cover artwork .","The album was recorded at the same time with Yoko Ono 's debut avant garde solo album `` Yoko Ono/Plastic Ono Band '' at Ascot Sound Studios and Abbey Road Studios using the same musicians and production team , and had nearly the same cover artwork ."
1935,"Stone was used in quantity for the manufacture of ornaments , vessels , and occasionally , for statues .","Stone was used for making ornaments , vessels , and sometimes for statues ."
1936,"Leonov believes the first boom he heard was that of the jet breaking the sound barrier , and the second was Gagarin 's plane crashing .","Leonov thinks the first boom he heard was that of the jet breaking the sound barrier , and the second was Gagarin 's plane crashing ."
1937,"Wales was born in Huntsville , Alabama , United States , where he attended Randolph School , a university-preparatory school , then earned bachelor 's and master 's degrees in finance .",He then earned bachelor 's and master 's degrees in finance .
1938,"Each of these mirrors has a surface measuring 120 square meters ( 1,290 square feet ) that concentrates the Sun 's rays to the top of a 115 meter ( 377 feet ) high tower where a solar receiver and a steam turbine are located .","Each of these mirrors has a surface measuring 120 square meters ( 1,290 square feet ) that concentrates the Sun 's rays to the top of a 115 meter ( 377 foot ) high tower where a solar receiver and a steam turbine are located ."
1939,She has played piano since she was six .,She started playing piano when she was six .
1940,"It is the largest mountain in the region and has been nicknamed the `` Beast of Provence '' , the `` Giant of Provence '' , or `` The Bald Mountain '' .",It is the largest mountain in the region and has the nicknames `` Giant of Provence '' and `` The Bald Mountain '' .
1941,Harris won a record six Victorian PGA Championship titles from 1950 to 1963 and the Victorian PGA Championship trophy is named the `` Jack Harris Cup '' in his honour .,The Victorian PGA Championship trophy is currently named the `` Jack Harris Cup '' in his honour .
1942,Blackpool Borough Council transferred the operation of the tramway and buses to Blackpool Transport Services Limited in 1986 .,The running of the buses and tramway was handed over to Blackpool Transport Services Limited in 1986 by Blackpool Borough Council .
1943,"Lõbembe is a village in Pühalepa Parish , Hiiu County , in northwestern Estonia .","Lõbembe is a village in Pühalepa Parish , Hiiu County in northwestern Estonia ."
1944,"In March 1943 , Hajiro volunteered to be part of the all-Nisei 442nd Regimental Combat Team .",Hajiro volunteered to be part of the all-Nisei 442nd Regimental Combat Team .
1945,"Nawaf Al-Temyat ( ) , born June 28 , 1976 , is a retired Saudi Arabian football ( soccer ) player .",Nawaf Al-Temyat ( born 28 June 1976 ) is a former Saudi Arabian football player .
1946,"As of 31 December 2004 , it had a population of 6,993 and an area of 33.2 km2 .","As of 31 December 2004 , it had a population of 6,993 and an area of 33.2 km ² ."
1947,Charles Marie de La Condamine is credited with introducing samples of rubber to the Académie Royale des Sciences of France in 1736 .,Charles Marie de La Condamine presented samples of rubber to the Académie Royale des Sciences of France in 1736 .
1948,"François Deguelt ( born Louis Deghelt , 4 December 1932 -- 22 January 2014 ) was a French singer , best known for his participation on behalf of Monaco in the Eurovision Song Contests of 1960 and 1962 .","François Deguelt ( born Louis Deghelt , 4 December 1932 -- 22 January 2014 ) was a French singer . He was best known for his performance on behalf of Monaco in the Eurovision Song Contests of 1960 and 1962 ."
1949,"Dengie is a village and civil parish in the Maldon district of Essex , England , with a population of 135 .","Dengie is a village and civil parish in Maldon District , Essex , England ."
1950,"Throughout the night , several watches and warnings were discontinued .","In the night , many watches and warnings were stopped ."
1951,"During the 2011 NHL Entry Draft Setoguchi , along with Charlie Coyle and a first round pick , was traded to the Minnesota Wild in exchange for Brent Burns and second round pick in the 2012 NHL Entry Draft .",Setoguchi went on to play 4 seasons with the Sharks before being traded along with Charlie Coyle and a first round pick in the 2011 NHL Entry Draft to the Minnesota Wild for Brent Burns and second round pick in the 2012 NHL Entry Draft .
1952,"The irregular bones are bones which , from their peculiar form , can not be grouped as long bone , short bone , flat bone or sesamoid bone .","The irregular bones are bones that from their peculiar form , can not be grouped as long bone , short bone , flat bone or sesamoid bone ."
1953,"The French refusal of market approval was challenged by the European Commission , and partially upheld by the European Court of Justice in 2004 .",The French ban was challenged by the European Commission and ( partially ) upheld by the European Court of Justice in 2004 .
1954,"Belmont threw lavish balls and dinner parties , receiving mixed reviews from New York 's high society .","August Belmont threw lavish balls and dinner parties , receiving from New York 's high society mixed reviews ."
1955,"In recent years , public health programs providing vaccinations have made strides in promoting health , including the eradication of smallpox , a disease that plagued humanity for thousands of years .","In recent years , public health programs providing vaccinations have made strides in promoting health , including the eradication of smallpox ."
1956,"The Weserstadion ( ) is a multi-purpose stadium in Bremen , Germany .","The Weserstadion is a stadium in Bremen , Germany ."
1957,Critics noted that the characters acted differently from the way they would in later seasons .,People noted that the characters acted differently from the way they would in later seasons .
1958,Fábio Rochemback ( born 10 December 1981 ) is a Brazilian professional footballer .,Fábio Rochemback ( born 10 December 1981 ) is a Brazilian football player .
1959,Lectures were prepared in advance and were sent to the speech synthesiser in short sections to be delivered .,[ 68 ] Lectures were prepared in advance and were sent to the speech synthesiser in short sections to be delivered .
1960,Gavere ( ) is a municipality located in the Belgian province of East Flanders .,Gavere is a municipality in the Belgian province of East Flanders .
1961,"Her mother was Henry 's second wife , Anne Boleyn .","She was the daughter of King Henry VIII of England and his second wife , Anne Boleyn ."
1962,"It is the highest point in Armenia , located in the province of Aragatsotn , northwest from Yerevan .",") is the highest point in Armenia . It is in the province of Aragatsotn , northwest from Yerevan ."
1963,Large-scale hydrography is usually undertaken by national or international organizations which sponsor data collection through precise surveys and publish charts and descriptive material for navigational purposes .,Massive hydrographical studies are usually undertaken by national or international organizations that sponsor data collection through surveys and publication of charts and descriptive materials for navigational purposes .
1964,"The women 's soccer team , which was started in 1974 , played in the Swedish top division in 1982 .",The women 's soccer team was started in 1974 . The women 's soccer team played in the Swedish top division in 1982 .
1965,"Overnight , the squall line tracked eastward with widespread wind damage and many embedded tornadoes across several states , a few as strong as EF2 but most were brief and weak .","Overnight , the squall line moved eastward and caused major wind damage ."
1966,"Tazewell is a town in Tazewell County , Virginia , United States .","Tazewell , Virginia is a town of Virginia in the United States ."
1967,"Sarah Jacobson ( August 25 , 1971 , Norwalk , Connecticut -- February 13 , 2004 New York City ) was an independent filmmaker who wrote , produced , and filmed her own movies .","Sarah Jacobson ( August 25 , 1971 , Norwalk , Connecticut -- February 13 , 2004 New York City ) was an American independent filmmaker who wrote , produced , and filmed her own movies ."
1968,"On 3 November 2008 a work by Malevich entitled `` Suprematist Composition '' from 1916 set the world record for any Russian work of art and any work sold at auction for that year , selling at Sotheby 's in New York City for just over US$ 60 million ( surpassing his previous record of US$ 17 million set in 2000 ) .",On 3 November 2008 a work by Malevich entitled `` Suprematist Composition '' from 1916 set the world record for any Russian work of art and any work sold at auction for that year . It sold at Sotheby 's in New York City for just over $ 60 million U.S. ( far surpassing his previous record of $ 17 million set in 2000 ) .
1969,"After a crash landing , the pilot dies , but not before telling the four ( in Chinese , which Conway knows ) to seek shelter at the nearby lamasery of Shangri-La .","After a crash landing , the pilot dies ."
1970,It was built for the main purpose of transporting commodities from the interior division to the port in Kota Kinabalu during the British occupation .,It was built for the main purpose of transporting commodities from the interior to the port in Kota Kinabalu during the British occupation .
1971,The birth of the anti-nuclear movement in California can be traced to controversy over Pacific Gas & Electric 's attempt to build the nation 's first commercially viable nuclear power plant in Bodega Bay .,The start of the anti-nuclear movement in California was the controversy over Pacific Gas & Electric 's attempt to build the nation 's first nuclear power plant in Bodega Bay .
1972,Norrahammar is a part of the Jönköping locality in Sweden .,Norrahammar is a part of the Jönköping locality ( `` town '' ) .
1973,"This episode marks the first full-fledged appearance of Kent Brockman , and Kelsey Grammer makes his first guest appearance on the show as the voice of Sideshow Bob .","This episode is the first full appearance of Kent Brockman , and Kelsey Grammer makes his first guest appearance on the show as the voice of `` Sideshow Bob . ''"
1974,"It is located on the banks of the Somme and its marshes , and the canal Saint-Quentin .","It is on the banks of the Somme and its marshes , and the canal Saint-Quentin ."
