#1 String,#2 String
"Yes, Dad?",Yes Dad?
A woman with a blue umbrella stands next to a parking meter.,A woman stands outside
"In general, these have been developed as resorts and offer all sorts of facilities everything from speedboats and parachutes to deck chairs and sunshades.",Things like sunshades and parachutes may be offered.
They should pray Clinton doesn't give it to them.,They will be lucky if Clinton doesn't give them it.
"Maybe, just maybe, if he were sued again ...",Possibly if he were sued again.
a woman sits at a dark bar.,a woman is seated
Many people in costumes are smiling at a party.,There is a party where there are people who are smiling.
Woman in Tye-dye shirt and another woman sing on the steps.,Two people are singing on the steps.
The regional park police helicopter is preparing to land.,The helicopter is close to the ground.
a man in a vehicle behind a family crowd,A man is sitting inside a motor vehicle.
"We are no longer together, but our relationship hasn't really changed except for no sex and that she's dating and I'm supposed to be.",We no longer have sex.
A bride and groom kissing in front of a group of people.,A bride and groom are kissing
A group of people in green shirts walking along a beautiful beach.,A group of females are walking outside.
"Still, the museum claims that around 1480 Columbus lived here for about two years and that young Diego Columbo was born a Portosantense in this house.",The museum states that Columbus inhabited this house in 1480
just they don't feed them the old people food the chicken and biscuits and things like that that's that's the thing my grandmother really misses i mean really growls about,My grandma really misses chicken and biscuits.
A child in a blue shirt is smiling while drinking chocolate milk.,A child is drinking a beverage.
Female bicyclist wearing black and red bicycle shorts and top and wearing white helmet.,A woman is on a bicycle
"How do I fight this barbarian?I'm sorry I've never had the proper schooling to not so quickly kick your arse,"" said the Kal.",Kal asked how to fight the barbarian.
The team should also have members knowledgeable about the programs that the acquisition is to support.,This acquisition needs knowledgeable team members in order to succeed.
Time-lapse of a female toddler playing in a living room.,A toddler is playing in a living room.
Many people listening to concert.,A crowd attends a concert.
and then just sort of told well you're here now you're part of our country and you be this way uh i i think it's a sad state of affairs but,They are told you are now a citizen of our country.
A man running in a red shirt and black shorts.,There is a man running.
"The Second Temple was finished in 515 b.c. , but much of the city still lay in ruins.",Much of the city was in ruins in 515 b.c.
A chef in a red shirt making meat and rice.,Chef making food
You have two guys in a breakdance battle and one of them is doing a move called the hollow back.,two guys are dancing
Young women compete in a relay event at a swimming pool while teammates cheer or anxiously await their turns.,"There are many people in this picture, many of whom are competing."
"Unfortunately, poor roads and limited public transportation hinder exploration of other parts of the island.",Poor roads and transportation options affect exploration of the island.
and uh i think i think it's going to have to have it's patchwork put on us,I believe the patchwork will have to be put on us
Individual walks down cobblestone road at night.,Someone is strolling down the street.
"Intended for St. Peter's Basilica as part of Michelangelo's botched project for Pope Julius II's tomb, the statue of the great biblical figure sits in awesome majesty.",Michelangelo's project for the tomb of Julius II was a failure.
The quenching area is typically a highly corrosive environment and the reagent slurries are highly abrasive.,"The quenching area is a very corrosive environment, and the regent scurries are very abrasive."
A man stands in front of a liquor store with a bright display.,a man stands outside
"Along with many Americans, I first caught Andy Kaufman on the Tonight Show in the mid-'70s.",Andy Kaufman was on the Tonight Show in the 70's
"For us, as Jews, the eulogy is not literary but religious.",Eulogies are meant to be religious for us Jews.
"Springing to her feet, she cried out angrily: ""What do you mean?",She was angry and jumped up.
A man and a boy are tasting fruit.,Two males are eating fruit.
The Habsburgs bowed out in 1700 with the death of Charles II.,"After Charles II died in 1700, The Habsburgs were no longer involved."
no it's it's wood turning,It's working with wood.
A girl is dressed up and waiting by a brick wall.,There is a girl ready to go.
"Clients with high trait anger, who were therefore likely to resist directive interventions, were more successful with a motivational enhancement intervention.","Clients have different traits of anger, which affects resistance to directive interventions."
uh i believe that you can that you can change well maybe not from year to year but at least you can change periodically uh as to you know as to to get the stuff that's more important to you yeah that's uh something that the uh that the federal government you know put into uh you know into the IRS regulations as uh as,I believe that throughout your life you can change what is important to you.
A group of people sitting around a table playing some kind of board or card game.,A group of people are playing.
hm  so i guess we've kind of neglected Latin America,We have not paid much attention to Latin America.
"'Daniel,' I snapped.",I snapped at Daniel.
"A trio of male musicians are performing with one playing a guitar and singing into a microphone, another holding a harmonica, and the third playing a bass guitar.",The three musicians are playing together.
Would you have any objection to telling us exactly what passed between you?,Do you mind telling us in detail what transpired between you?
"Several security managers told us that, in addition to reading current professional literature, their involvement with professional organizations was a valuable means of learning about the latest monitoring tools and research efforts.",Learning about the latest monitoring tools by being in contact with professional organizations is a stratagem used by several security managers.
A couple is getting ready to take wedding pictures.,The couple is having their picture taken soon
The dog is running with food in his mouth.,A dog runs
We did not discuss the specific controls they had implemented due to the proprietary and often highly technical nature of this information.,The controls implemented often concern highly technical information.
"A profile of Steve Jurvetson, the 33-year-old venture capitalist who seeds Internet startups, predicts he will prosper even though Internet IPOs no longer promise exponential returns.",Steve Jurvetson is a 33-year-old venture capitalist
um i had a friend who had fixed some uh chili buffalo chili and about a week before went to see the movie of course they raise them now you know to eat,About a week before fixing some buffalo chili he went to see the movie.
A shirtless man covered in red lipstick kisses waving a blue flag.,A man without a shirt waving a flag.
The woman in a red jacket is smiling at the camera.,The woman smiled at the camera.
"The few Malaysian tigers left roaming the peninsula are the smallest of the breed, weighing only 200 kg (440 lb), 100 kg (220 lb) less than the Indian or Chinese tiger.",The Indian and Chinese tiger weigh close to 300 kg.
The waves are crashing against the woman.,Waves are hitting against a woman
"When you have a hard cap, as you would under S. 556, requiring emission reductions at a specific source does not reduce the overall level of pollution, it just limits industry's flexibility about where to make the reductions.",The overall level of pollution would not be reduced by requiring industries to make emission reductions.
"According to an official at the Department of the Interior, publication of the certifications in the Federal Register was treated as providing notice under section 605(b) to the Small Business Administration's (SBA) Chief Counsel for Advocacy.",The Small Business Administration's Chief Counsel for Advocacy was provided notice.
A child riding a red and yellow merry-go-round while his feet up in the air.,A child riding a merry-go-round.
Prudie is hearing a great deal about Viagra--but mercifully not from her readers.,There are a lot of gossip about Viagra.
A man is holding a fishing rod and fishing at sunset.,A man is near a body of water.
Did you examine one bottle in particular?,Did you study on bottle specifically?
Two female tennis players showing great sportsmanship at a tennis match.,A tennis game is held.
A man and woman sit on a park bench.,two people sitting on a bench
"The several people standing on the Washington Wells platform, waiting for a train.",There are people waiting for the train.
A woman looks inside a sandwich vending machine.,The woman has eyes
A word about prices.,Additional information on costs.
"(1) established senior-level CFO positions, (2) required annual financial statement audits, and (3) set expectations for more modern systems to support integrated management of budget, accounting, and program information.",1.Establish senior level CFO positions 2.Require annual financial statement audits.
A man stands in the street outside of scaffolding.,a guy is outside near some construction
A group of teenagers stand and sit on a house porch.,"A group of teenagers, some standing and others sitting on a house porch"
and uh sounded like he got pounded pretty hard,Sounded like he suffered a big defeat.
3 little children playing with themselves in a snowy scenery.,The children are outside.
"Similarly, section 203 of the act is inapplicable because the rule will not significantly affect small governments.",Section 203 can not be applied because it will not have a large affect on small governments.
Man with short dark graying hair speaking into a microphone.,A man is speaking into a microphone.
A black and brown dog with blue collar goes on alert by a soccer ball in the grass.,The dog sees a ball
"Creating a lush Madeiran backyard won't be easy, but you can still take home souvenir flamingo flowers (anthuriums), orchids, and bird-of-paradise flowers (strelitzias, or estrel?­cias in Portuguese).",The bird-of-paradise is a kind of flower that is also known as strelitzias.
A young man talks to the operator of a prize booth.,The boy was talking to the worker in the booth.
She smiled at her own foolishness then looked up with a start to find Sir James watching her.,"She smiled at her own stupidity, and saw Sir James looking at her."
kind of like the Italians it's really good but instead i catered to their diet so i made baked chicken in the crock pot and um it was good and everything it had all the vegetables in it but it seemed kind of boring compared,I made a special dish for them but it was bland compared to what I would've preferred to make.
"Although this guide focuses on information security program management, this is only one aspect of an organization's overall information management strategy.",The guide is related to information security program management.
The woman is skating in the park.,A woman is outside.
"And, remember, all this is in confidence.""",They are speaking with trust to the other person.
Or from our own non-stock repositories of future value--i.e.,Repositories of future value are an example.
"One of my favorites among these paintings, Untitled V (1982), is built around a repeated shape that is like a dark letter S.",Untitled is a painting.
A young boy is looking at a toddler starting to cry in front of an orange car.,The young toddler is crying by the car.
A girl in a green dress plays with a Hello Kitty balloon.,A girl is in a green dress.
A man with a tattoo on his elbow is wearing a helmet with a mohawk.,The man has a tattoo.
Two professional businessmen having a conversation.,Two professional businessmen talking.
A little boy wearing a hat and sandals sits on the grass.,The little boy is outside.
oh my um you bet especially in the South,"You bet, especially in the South."
A man with a gray shirt and gray pants is working on a project near the water with another man who is wearing just shorts and a hat.,The two men are working together.
yeah and it was it i was um keenly aware of the the the danger in my area um my roommate was attacked and she got away unharmed but scared to pieces and had had all of her clothing ripped off of her um and then i had another friend that was also approached and got away and this was in broad daylight both times so i was keenly aware of the danger in those areas but i didn't i guess i didn't feel like i was competent enough with any kind of weapon to to carry one or to feel like carrying one would be a benefit to me rather than just having them take it  you know i mean that's i that's that's truly how i felt i felt like if i were carrying something and if i actually pulled it on somebody that was trying to attack me that their chances of getting it from me would be higher than my chances of using it effectively on them,I was aware that my area was scary.
A man wearing an apron and green hat is flipping a large pancake in a kitchen.,A human with a hat
"One of the best ways to help the approximately 80 percent of low-income persons who need legal assistance but must do without, is to arm self-represented litigants with quality information and assistance.",Arming self-represented litigants with quality information and assistance is one of the best way to help 80 percent of low-income persons who need legal assistance.
A man is kicking a soccer ball on the field.,A man is outdoors.
Three women look on as two men look at the tire of a bike.,Men are looking at a tire
All this was given concrete historical reality in October 1917 with the holy Russian Revolution.,The holy Russian Revolution began in 1917.
Two boys in long sleeves were walking by a brick wall.,Two people are walking.
Men sparing with each other at a gym.,Men are sparing with each other.
my my wife is taxed on her bonus as well and that's a that's usually a big chunk of her bonus check actually i mean her bonus isn't that much but they tax it as i i guess they tax it as if,My wifes bonus at work is taxed.
The final rule was issued using the notice and comment procedures contained at 5 U.S.C.,The final rule was issued using the notice and comment procedures contained at 5 U.S.C.
A middle-aged woman dressed in pink sweater and white jumper appears to be falling asleep while sitting aboard a mass transit vehicle.,A woman is looking tired.
A man riding a lawn mower around the hedges in a garden.,A man is mowing the lawn.
A woman in an old fashioned outfit stands in a classic-looking room.,An old photo of a woman.
This young girl is making her way home.,The girl is not home yet.
A busy cafe in an outdoor mall is shown.,There are a lot of people at a cafe
The AIM-9X program made extensive use of engineering prototypes to stabilize the missile's design before building production representative prototypes.,The AIM-9X program created prototypes of the missile's design.
"Fruit, rum, and spices were once transported from the old docks, but in recent years the harbor area has been transformed.",The harbor area has been transformed.
yeah it was Twins was good too  because when i thought of that i thought of  anyway um,Twins was good.
A blue street sign is covered by tree branches.,A street sign is partially hidden.
I wish we could get hold of Tuppence.,We haven't been able to reach Tuppence.
"As a result, some are questioning the future role of the AICPA and whether they should continue to renew their membership.",Some AICPA members are beginning to consider not continuing their membership.
and it's just off the interstate and the kids would love it because they have playgrounds for the children and all and they have uh several nature trails,Kids really like that place because they have playgrounds.
"The total demand for additional FGD installations will be modest and is expected to be well within the anticipated steel capacity, even with demands from other applications.",Additional FGD installations will be within limits of the steel capacity.
A man in a black hat and a blue jacket is holding a hammer.,The hammer strains against gravity
Man watching child in hallway.,a man is watching a child
"Using similar techniques, furniture is likely to be expensive, but framed pictures of Tuscan landscapes or views of Florence are more moderately priced and, as souvenirs go, tastefully done.",Framed pictures of Tuscan landscapes are relatively tasteful.
A skydiver safely lands while another watches from the ground.,There was a safe landing by the skydiver.
Tommy looked round.,Tommy had an observable round shape.
Arkansas just uh they had a rough second half,Arkansas had a hard time in the second half
"In a.d. 988 the Irish kings finally united under the king of Munster, Brian Bor??, and in a great battle drove the Vikings north of the Liffey.",The Irish kings were united under Munster.
Two young girls wearing costumes of ruffles and pettipants are dancing in a street while onlookers sit at tables in the background.,Two young girls are dancing outside.
"Visitors are able to relax here as the emperor did, by lingering on the terraces to take in the changing scene that surround them.",The emperor used to relax on the terraces to do sight seeing.
i was i was just uh oh well let's see i guess we've talked what almost five minutes,We've talked for almost five minutes.
"You'll find that the Old Cites myriad colours, sounds, smells, and tastes stir the senses; the Temple Mount's architecture can take your breath away; pilgrims tracing Christ's journey to Calvary along the Via Dolorosa remain a deeply moving sight; and the views from the Mount of Olives are stunning.",The Old City is full of many culturally significant sites.
And that's why there's nothing at all wrong with this picture.,Everything in the picture is just fine.
A vehicle has just released a boat into the water as a man in red stands on shore.,A man is near the water where a boat has been released.
an Olympic winner wearing her two gold medals and a gray jacket showing a peace sign and a wave,An Olympic winner waving.
Guy without a shirt in black pants doing stunts on his skateboard.,A man is riding his skateboard.
and he just whips out you know i saw him yesterday morning over there and and he paid his monthly bills and he just you know wrote all the checks on the screen and hit print and it printed out like ten checks and he just you know they're perforated and he just ripped them off they go through just a continuous thing on the printer and,it printed ten checks after he typed them and clicked the print button
"A smiling woman cleaning a backyard pool while a man stands nearby with his hands on his hips, looking at the pool.",The woman is cleaning
"A man and woman of African ethnicity sitting on a city sidewalk bench with a bag of groceries and pink, heart-shaped balloon.",A man and a woman have a bag of groceries.
"That door isn't shut.""",That door is open.
A large group of seated people all looking in the same direction.,A group of people are sitting.
Epidemiological Studies of Acute Ozone Exposures and Mortality.,Acute Ozone Exposures are related to Epidemiological Studies.
And Hong Kong legislator Martin Lee deplores China's plan to wipe out the colony's democratic government.,China has a plan to wipe out Hong Kong's democratic government.
so it's not a it's not a thick rich type of a sauce it's more of a when you use corn starch in in gravy like you know when you have um Chinese food,"It's a thinner type of sauce, like gravies made with corn starch."
"A man sells fruit from baskets on his bicycle near a blue building while other men wait, seated or standing.",There is a seller and some other men.
"In addition, senior executives are to establish a principal commitment in their individual performance plans focused on the overall attainment of objectives to accomplish the operating division's performance plan.",Senior executives need to establish a commitment to their plans.
A girl blows a bubble in the water.,The girl is playing in the water.
"The foundation argues the practice essentially steals the interest from the clients, an illegal taking of personal property under the Fifth Amendment to the U.S.",It is believed that the practiced partakes in the theft of it's client's interests.
There is a fellow in this photo taking a practice swing on a golf course.,A person is in a photo.
An elderly woman in a hospital gown and a young woman writing with a pen.,A woman is in a hospital gown.
A man working at a carnival game is yelling.,A man is yelling.
Several adults sitting in a classroom taking notes.,Some people are sitting down writing.
A person is cartwheeling over another person while a third person runs behind them.,The people are doing physical activity.
This Odysseus seems to be on a very long journey to find his missing Prozac.,They are taking their time finding their medication.
Just to the east of town is a small scruffy bay that comes to life at night.,Nighttime comes to life in the unkempt little to the east.
An Asian woman working in a dry cleaner.,A woman is working at the dry cleaner.
A young man looks inside a washer at a laundromat.,A man examining the inside of a washing machine.
"It is believed that Leonardo da Vinci, whom Francois brought to the Loire Valley in 1516, participated in the design, especially of the central four-towered donjon ' which makes a dream palace out of a classically feudal castle keep ' and the celebrated double-ramped spiral staircase in the donjon's center, which enables people to go up and down without meeting.",It is thought that da Vinci helped design the donjon.
A woman in a pink shirt brushes a brown horse's mane.,The lady in pink combs a brown horse's mane.
A man wearing a hat and a tan jacket walking on the street.,A man is walking outdoors.
Man wearing jeans rolls a bowling ball down the lane.,A man is playing bowling.
"That is to say, all the ones recently buried.",All the ones that have been buried recently.
people are riding motorcycles in a circle.,People are on motercycles
I am busy.,I am not not busy.
Two small dogs run through the grass.,two small dogs are outside
"On Late Edition , Wolf Blitzer trots out Friday's CNN/Gallup/ USA Today poll indicating that if John McCain and Bill Bradley win some early primaries, Bush voters may switch to McCain, but Gore voters likely will not switch to Bradley.",McCain and Bradley were both running.
"Only, I mean it, Kirby, you walk soft and get back to the Range as quick as you can.""",I need you to get to the Range as fast as possible.
"A free walking tour departs every Saturday at 10:00 a.m. from the Plaza Hotel and points out the town's historic sights, most notably the tombs of prominent rabbis.",There is a free walking tour every Saturday morning to see the town's historic places and the tombs of famous rabbis.
Two men with helmets on a motorized vehicle in the desert.,Two men riding a vehicle.
"But look here, how could he have got at the coco?",I wondered how he could have got the coco.
A man catches a huge wave on his surfboard.,The man is on the water surfing.
A scuba diver ventures below the surface through countless forms of marine life.,There is a diver in the water.
oh yeah it's too nice been too nice of a weekend,"Yes, the weekend was really good."
An elderly gentleman points at another elderly man.,An older man points.
two men sitting on the side of road selling items out of baskets.,Baskets have items for sale.
Cost per case is a rough quantitative output measure of the efficiency of LSC programs' delivery of case services to eligible clients.,Cost per case is a rough quantitative output measure of delivery efficiency.
People play in sprinklers while other people watch and stand near bicycles on the second floor.,People are outside playing with water
Can the president do a mea culpa knowing that the video of Hillary saying it would be a very serious offense would be thrown back in his face again and again and again?,Would the president be able to apologize even though the video would be thrown back in his face?
so now they're a year older and i my daughter's eleven going to be eleven this summer and my son will be nine and a half and so i'm not i think i can leave them home for a if i can work part of the day you know i'm going to leave them home right,I should be able to leave my kids at home if I work partial days.
Man raising his arms triumphantly as he leads the pack in a bike race.,Many people are riding bicycles.
Four black children smiling and eating their lunch on the ground.,Happy children are enjoying some food.
A young woman is kicking a soccer ball on a field.,A young woman is playing with a soccer ball.
"The ideological impetus behind judicial developments in the last two areas, campaign finance and equal-time provisions, is related less to speech, except as a kind of constitutional cover, than to a revival of the old right to property--that is, the Supreme Court tends to disapprove of legislative and administrative efforts to require broadcasters to carry opposing viewpoints on the grounds that since it's their property, owners of television stations should be able to broadcast what they like.",The Supreme Court doesn't like efforts to change what broadcasters do.
Multiple diners are sitting in black chairs in a reddish-orange Asian-themed restaurant eating.,People are in a restaurant
An old man stands next to a vise.,An old man is standing near a tool.
You can't teach common bonds of history to teens while the school and the community stress athletics as the most honored achievement.,You can't teach bonds of history to teens when the school acts like athletics is the most important thing.
"So might the environmental, consumer, and public interest group members of the EPA's food quality advisory panel who recently resigned in protest, stating that the agency dithered in endless, fruitless debate rather than doing anything about toxic chemicals that have been around since World War II (the Washington Post , April, 28, 1999).",The EPA's food quality advisory panel feels that there are toxins and chemicals in our food that need to be removed.
Kids playing basketball on a wood deck.,Kids are playing a game.
"Under the British, Penang was named Prince of Wales Island, and the capital took its name from the son of King George III, the future George IV.","Under British rule, Penang was called Prince of Wales Island."
"'If it was, would you think of me differently Daniel? If I turned out not to be the man you thought, if it had all been a fraud, I'm pretty sure that would constitute an unforgivable lie.'",I was talking to Daniel.
several people look on as gymnasts try to stick their routines.,Several people Watch gymnasts.
A crowd of law enforcement officers who are all in uniform are blocking off a street in a crowded neighborhood.,Law enforcement officers block off a street
The green fire grew closer.,The flame was approaching.
Two children are climbing into a SpongeBob SquarePants bounce house as one child climbs out.,Two children are playing inside a bounce house.
A crowd of people at the airport,There are people in an airport.
An Elderly Woman talks on a Cellphone while she sits.,The woman is speaking with someone.
Susan chewed her flatbread.,"With her teeth, Susan chewed up her flatbread."
Fire is coming out of the back of a race car.,There is a car driving
"Down the road from the Russian church, the chapel's dome is now in the grounds of a mosque.",The chapel's dome down the road is now a mosque.
A small red and white race car is competing during a race.,There are at least two cars.
so i hadn't hadn't really thought about that,I haven't really put much thought into that.
A man with a hat is playing the guitar.,Man playing a guitar.
A child is looking at an angel made in the snow.,a child looks at the snow
and told us to get inside our car,They told us to get in the car.
A woman in sunglasses and a blue flowered shirt stands while a boy and a man sit nearby.,A human sitting.
well have you ever played baseball,Is playing baseball something you've ever done?
"SpongeBob Square Pants Tops the red, yellow and blue bounce house as the children line up for their turn.",Children wait to enter a bounce house.
"Beyond that point, many considerations need to be balanced in order to decide on the appropriate discount levels.",There needs to be a balance of considerations at some point.
"DOD also concurred that critical manufacturing processes must be demonstrated using statistical process control techniques before production, but believes that achieving this at Milestone C, the low rate production decision, is unlikely.",Statistical process control techniques must be used for critical manufacturing processes before production.
"Table 2, line 3 shows that in FY 2000, outbound mail had a contribution to institutional costs of $456 million.",Outbound mail adds $456 million to institutional costs.
"""You ain't makin' out no bill of sale on her already, are you?"" Callie was shocked.",Callie was surprised to hear that a transaction was underway.
they might even have i know uh with a niece and nephew of mine they're school was uh like uh church school and they even had things where they would have them go to shelters downtown and help for a day,My niece and nephew went to a school that volunteered at downtown shelters.
"All past articles, features, and columns remain available in The Compost.",The part articles are available in The Compost.
A small child is throwing a sponge at a soapy car.,"The kid throws the sponge,"
"I shall go round the long way through the woods."" The woods round Styles were very beautiful.",I'll take the scenic route through the picturesque woods.
"Nearly was, too.",nearly was as well.
Most of the great dome was empty.,The great dome was mostly empty.
Two women walk past a shopping area displaying a large American flag while a man in a red shirt and sombrero stands on a ladder.,People walk around the shopping district.
or we play games like board games we buy board games you know it's just different things whatever you know would we vote on it and whatever the dorm would want that's what we buy,"We voted on what to buy, like board games and stuff."
We divide out-of-office delivery costs into their components using the method developed by the U.S.,There are several component costs involved with out of office deliveries.
"The evidence of attestations, verifications, and approvals will of necessity differ between manual and automated systems.",There is evidence of verifications and approvals differing between automated and manual systems
"Mr. Casellas began his career at the Philadelphia law firm Montgomery, McCracken, Walker  and  Rhoads, where he worked for sixteen years.","Mr. Casellas worked at Montgomery, McCracken, Walker and Rhoads for sixteen years."
"Both Peking and London repudiated the agreement, and fighting resumed.","Both countries refused to abide by the agreement, so battles were continued."
A girl with dreadlocks tries to hit a ball on a waterlogged put-put course.,A girl is playing outside.
A person is crouched down taking a photograph of a skateboarder.,A photographer is taking pictures.
"Javea also has an interesting Museo Histerico y Etnografico with an important collection of Iberian finds from Sierra de Montge, and two strongly contrasting churches an early 16th-century fortified building, and a modern, boat-shaped structure.",There is an interesting museum and several churches in Javea.
SOme sort of boat race is going on with a Hansa Powerade sign prominently displayed.,A sponsored boat race.
In the hills south of Runaway Bay is the village of Nine Mile.,Nine mile is a village located south of Runaway Bay.
A woman wearing a pink shirt is using workout equipment.,a woman is working out
A man in a blue jacket is standing in front of a small group of people.,A group of people are standing together.
"Two people in white shirts are gripping a rail bar, one is squatting top and the other is standing.",Some people grip a rail bar.
A woman in blue jeans and a bright orange shirt walks through a puddle of water on the sidewalk of an urban neighborhood.,A woman walking through an urban neighborhood.
Three sailboats sit near the bank of the river.,The hulls of the boats are wet
"A martial arts class, most of the class members are watching two spar.",Sparring is taking place in front of onlookers.
An African American woman standing between two people dressed as clowns.,The woman is near a clown.
How can anyone do that?,Why would someone do such a thing?
A man in a blue shirt is writing sentences on a chalkboard.,A man is standing in front of the class writing on a chalkboard.
A woman in a black and white shirt crossed a street while a man on a moped dressed in a red shirt and jeans looks back towards her.,A woman crosses the street.
Cold Mountain is advanced humbug.,Advanced humbug means Cold Mountain.
Two children playing a game of checkers with toys in the background.,Kids are experiencing a game together.
"I must go now they will be waiting for me."" She hurried out.",There are people waiting for her.
Two men working on some pottery in a room with pottery on all the walls.,There is pottery on display.
Two young men are at a party.,Two young men attending a party.
"Now Darjeeling is part of West Bengal, but Nepali remains the official language and most residents are of Nepalese and Tibetan origin.",Nepali is the main language in Darjeeling.
Gentilello and colleagues sent a letter home one month after discharge as a reminder of the intervention conversation.,Gentilelio and his peers had sent a letter to their home after one month after the discharge.
Boy swimming in blue pool.,Male child swimming in pool.
A golden retriever is playing with a smaller black and brown dog in a pink collar.,Two dogs at play.
"This is baby, dressed in blue, standing barefoot on a stone.",A baby without shoes is outside.
Great developments TOMMY.,"Impressive progress, Tommy."
A woman is reading a newspaper on the subway.,A person is looking at a newspaper.
A woman offers a tray of watermelon slices to a man in a party setting.,The man is at a party.
a woman sits on the rock.,A woman is sitting outside.
some physical event that requires more work after swimming in a pool,Climbing out of swimming pool.
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.
A member of an African tribe is watching the camera intently in tribal dress.,An African man looks at a camera.
"Just south of the National Museum is the spectacular Sanjusangendo, the Hall of Thirty-Three Bays.",The National Museum is just north of the beautiful Sanjusangendo.
"For another example, to determine whether actions taken by the states since the mid-1970's to address medical malpractice insurance reduced insurance costs, the number of claims filed, and the average amount paid per claim, HRD conducted case studies in six selected states (Arkansas, California, Florida, Indiana, New York, and California).",HRD conducted studies to determine the results of actions taken against malpractice insurance.
A woman in a white blouse is walking down the street on a sunny day.,A woman is outside walking.
that's another big fat one,It's another huge one.
Two older men playing soccer with four children that are trying to score a goal.,Two old men are playing soccer with children.
a man looks through his binoculars while another man holds a drink.,A man is looking at something
"In other words, the F-22 is requiring significantly more maintenance actions than planned.",The F-22 is needing much more maintenance actions than was anticipated.
And who knew what the demonic riders did to their spears before battle.,Their pre-battle ritual was a mystery.
"However, the end of the golden age was drawing near.",The golden age was coming to an end.
Spanish Specialities,Exclusively from Spain.
A bearded traveler in a red shirt sitting in a car and reading a map.,The traveler has facial hair.
An older woman in a pink outfit looking down.,A female is wearing a feminine outfit.
Two men are fishing in a river.,Some people are fishing.
People standing in line for something.,Humans standing
An asian man with glasses standing with his arms crossed in front of an Infineon Technologies advertisement.,The man is wearing corrective lenses.
A picture of the little boats in Italy.,A picture of boats.
"Man with red, white and blue flag with one star holds it waving in the wind in the middle of a street while a crowd is seen in the background and water is sprayed.",Man is holding a flag in the street while water is being sprayed.
A male pulling his shoe onto his foot.,A man puts on his shoe.
"For each activity a post performs, there are volume-driven attributable costs and networkdriven institutional costs.",There are many volume and network driven costs that are associated with each activity that a post performs.
yes yes i'm one of the ones that had my salary frozen for ninety one yes,"Indeed, I'm one of the people who had my wages frozen."
Andy Rodderick gets ready to hit a tennis ball.,A person playing Tennis.
A man in military uniform stands at a podium and reads from a children's book.,Someone is standing at a podium.
"He takes pains to say he is not offering a plan for a perfect society, merely a framework for utopia (the phrase is Robert Nozick's).","He is careful to say that he is not offering a plan for a perfect society, but a framework for utopia."
a band playing at a concert.,A band playing at a concert
man wearing a black shirt is using a chainsaw to sculpt a bird from a block of wood.,A man sculpted wood.
"In the preamble to the rule, FDA presents a summary of its economic analyses, discussing the potential benefits of the proposed rule and the economic impact that could occur as a result of its implementation.",The preamble contains an analysis of the benefits of the rule and its effect on the economy.
A little girl with a blue shirt is standing by a man wearing sunglasses on the beach.,The girl is wearing a shirt.
or whoever we happen to give the most money to at that particular time we seem to support without regard whether there is a democracy or a anarchy or anything else,We support people with money.
"Two young men, one in blue and one in red, stand balanced on two red wooden beams.",Two people are balancing on beams.
Art and Sculpture,Art and sculpture.
"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.
oh oh i see oh dear  well uh-huh i think those are the same people who have their credit cards uh charged up to the max and that's just a way of life i guess,Those are the type of people that have their credit cards maxed out.
"Two women on the beach, looking at a tattoo on one of their backs.",A woman looks at her friend's back tattoo.
"So do not intrigue yourself, my friend."" An audible creaking proclaimed the approach of Annie, so I had no time to reply.",I had no time to reply because Annie was approaching.
A man in a dark hat shoots a handgun.,A man is shooting a handgun.
Children dressed in green and yellow soccer uniforms run after a soccer ball,Children are running after a soccer ball.
"I know when she is seen doing this people think we are a pair of nuts (and assume she's doing it for both of us), and I also worry that this is stealing.",She makes me look bad by association.
"H'm. The lawyer rose, and paced slowly up and down.",The lawyer stood up and paced up and down slowly.
"Set in Cuba during the Spanish-American war, the novel is part Western (the main character, Ben Tyler, is an Arizona cowboy) and part noir (he's in on an arms-smuggling scam gone bad).",The novel mixes western and noir themes over the backdrop of the Spanish-American war.
The park is landscaped with lakes and gardens.,The park has lakes and gardens.
"With its numerous buildings set within extensive grounds, Kiyomizu's main attraction is the hondo (main hall).",The hondo is the most popular attraction for visitors to Kiyomizu.
A happy gay couple taking a walk through a park.,A happy couple are outside
A crowd of people walking on a sidewalk in a city.,People are walking.
"There was the sound of typewriters from behind the doors, and the floor was covered with composition tile, instead of the too-lush carpets.",The sound of typewriters came from behind the door.
A skateboarder on a ramp.,There is a skateboarder.
A student is rushing to class while wearing headphones.,Someone is at a school.
A brown dog rests on a green cushion.,A dog takes a cat nap on the couch.
"These hump-backed beasts are bad-tempered, and when two moody males confront each other in the ring a fierce sparring match ensues, in which they use their necks to try to throw each other off balance.",The beasts have very bad tempers causing them to fight.
A musician is playing guitar on stage.,a musician is playing his guitar
"There's a conservative case for parties, too, articulated by the 18 th century philosopher Edmund Burke.",Edmund Burke was able to make clear a conservative case for parties.
Three people are being silly in the woods.,three people are in the woods
A man pushes a child in a blue car while another child looks on.,The man is pushing a child.
A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle.,A human pointing.
Children watch a pigeon in a public square.,Children observe a pigeon.
This older gentleman appears to be outside waiting for someone to come to have him fix their shoe.,A man sits outside waiting for work.
